UserID,Result,Feedback
1408210723888435222,Denied,"Thank you for taking the time to apply for a staff position at New England Transit. After careful review of your application, we’ve decided not to move forward with your application at this time.

While we appreciate your enthusiasm for the community and your interest in helping others, we feel that additional experience and maturity in staff responsibilities are needed before joining the supervisor team. We encourage you to continue being active in the community, learning from current staff, and developing your skills. Applying again in the future after gaining more experience is always an option.

Thank you again for your interest in New England Transit, and we hope to see you continue to contribute positively to the community."
1263248306264608871,Accepted,"Congratulations! Your application for a staff position at New England Transit has been accepted. We were impressed by your prior experience as a supervisor, your dedication, and your thoughtful approach to handling responsibilities and de-escalating situations.

As a member of our team, we expect you to maintain professionalism, follow SPaG standards, and continue demonstrating the leadership and commitment you highlighted in your application. Your contributions will help make the community safer, more enjoyable, and more organized."
914637980289867847,Accepted,test
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
,,Feedback
